id,name,x,y,player_id,points,bonus
1,%5B088%5DGIURAMENTO,500,506,673146,9850,0
2,REBIRTH+P65,499,485,848895304,9859,0
3,%5B008%5DARRAX,505,499,673146,8349,8
4,A020,510,492,42690,10057,0
5,A045,504,510,848854990,10929,3
6,00009SUDOVEST,492,529,1037786,10285,0
7,B+016+%2A,477,522,848882956,10000,0
8,A+-+%5B024%5D+Theodore+Kaczynski,484,477,1043864,10057,0
9,00083SUDOVEST,494,528,1037786,10285,0
10,00187SUDOVEST,496,532,1037786,10285,0
11,%5B050%5D+Uzbad-d%C3%BCm,470,515,1051602,10000,0
12,038+PEAKY+BLINDERS,506,479,577344,11548,0
13,%5B069%5D+Bel-d%C3%BCm,469,514,1051602,10000,0
14,101,506,485,963123,9912,0
15,%5B802%5D+Barag-d%C3%BCm,501,509,1051602,10000,0
16,A036,521,500,848854990,9587,3
17,00226SUDOVEST,490,525,1037786,10518,0
18,002+BOOPB,498,487,566131,9993,0
19,A037+pignaaa,494,480,539030,9950,7
20,00093SUDOVEST,491,531,1037786,10285,0
21,003+Arthur+Shelby,499,480,963123,10336,4
22,Z17+-,473,490,1079295,10134,0
23,17SUDEST,500,504,1037786,10533,0
24,06+Villaggio+bonus+PB,481,480,848881064,10134,8
25,%5B008%5D+Thera-d%C3%BCm,485,517,1051602,10000,0
26,A004+%7BDELETE%7D,503,524,2360,9990,0
27,00269SUDOVEST,493,526,1037786,10285,8
28,099,511,493,963123,9554,0
29,094,498,478,963123,10057,0
30,032+Bull+scatenato,511,521,1091298,9990,0
31,A036+Santeria,509,480,539030,11215,1
32,%5B020%5D+Ront-d%C3%BCm,486,514,1051602,10000,0
34,A+%7C+001+PACO,514,519,419317,10679,1
35,%5B040%5D+Troggwar-d%C3%BCm,476,517,1051602,10000,0
36,REBIRTH+B41,471,507,848895304,10093,0
37,005+BOOPB,498,490,566131,9834,0
38,26SUDEST,503,503,1037786,10533,1
39,00125SUDOVEST,497,534,1037786,10285,0
40,015+zar003,522,485,63360,10042,0
41,C015+Gladiatore+II,473,505,539030,9950,0
42,00086SUDOVEST,492,530,1037786,10285,0
43,%5B091%5DFIAMMANERA,496,505,673146,9809,0
44,%5BC%5D+051+-+nero,523,490,1029566,10469,4
45,%5B057%5D+Back,528,496,848906328,10134,0
46,%5B003%5D+Kevakan-d%C3%BCm,484,511,1051602,10000,0
47,A023,526,503,848854990,9679,0
